Top result for (M, N) = (512, 512) : ((16, 8, 64), 4.63872)
Top result for (M, N) = (512, 1024) : ((16, 8, 64), 4.93568)
Top result for (M, N) = (512, 1536) : ((16, 8, 64), 5.08928)
Top result for (M, N) = (512, 2048) : ((16, 8, 64), 5.57056)
Top result for (M, N) = (512, 2560) : ((16, 8, 64), 5.71392)
Top result for (M, N) = (512, 3072) : ((16, 8, 64), 5.84704)
Top result for (M, N) = (512, 3584) : ((16, 8, 64), 6.41024)
Top result for (M, N) = (512, 4096) : ((16, 8, 64), 6.33856)
Top result for (M, N) = (512, 4608) : ((16, 8, 64), 6.22592)
Top result for (M, N) = (512, 5120) : ((16, 8, 64), 6.4512)
Top result for (M, N) = (512, 5632) : ((16, 8, 64), 6.93248)
Top result for (M, N) = (512, 6144) : ((16, 8, 64), 6.89152)
Top result for (M, N) = (512, 6656) : ((16, 8, 64), 7.12704)
Top result for (M, N) = (512, 7168) : ((16, 8, 64), 8.01792)
Top result for (M, N) = (512, 7680) : ((16, 8, 64), 7.72096)
Top result for (M, N) = (512, 8192) : ((16, 8, 64), 7.96672)
Top result for (M, N) = (1024, 512) : ((16, 8, 64), 4.73088)
Top result for (M, N) = (1024, 1024) : ((16, 8, 64), 5.53984)
Top result for (M, N) = (1024, 1536) : ((16, 8, 64), 6.07232)
Top result for (M, N) = (1024, 2048) : ((16, 8, 64), 6.144)
Top result for (M, N) = (1024, 2560) : ((16, 8, 64), 6.62528)
Top result for (M, N) = (1024, 3072) : ((16, 8, 64), 7.04512)
Top result for (M, N) = (1024, 3584) : ((16, 8, 64), 7.79264)
Top result for (M, N) = (1024, 4096) : ((16, 8, 64), 8.120319)
Top result for (M, N) = (1024, 4608) : ((16, 8, 128), 8.560639)
Top result for (M, N) = (1024, 5120) : ((16, 16, 64), 8.84736)
Top result for (M, N) = (1024, 5632) : ((16, 8, 64), 9.5744)
Top result for (M, N) = (1024, 6144) : ((16, 8, 64), 10.2912)
Top result for (M, N) = (1024, 6656) : ((16, 8, 128), 15.19616)
Top result for (M, N) = (1024, 7168) : ((16, 8, 128), 17.879042)
Top result for (M, N) = (1024, 7680) : ((32, 8, 64), 16.670721)
Top result for (M, N) = (1024, 8192) : ((32, 8, 64), 20.2752)
Top result for (M, N) = (1536, 512) : ((16, 8, 64), 5.31456)
Top result for (M, N) = (1536, 1024) : ((16, 8, 64), 5.8368)
Top result for (M, N) = (1536, 1536) : ((16, 8, 64), 6.31808)
Top result for (M, N) = (1536, 2048) : ((16, 8, 64), 6.7584)
Top result for (M, N) = (1536, 2560) : ((16, 8, 64), 8.21248)
Top result for (M, N) = (1536, 3072) : ((16, 8, 64), 8.51968)
Top result for (M, N) = (1536, 3584) : ((16, 8, 64), 9.24672)
Top result for (M, N) = (1536, 4096) : ((16, 8, 64), 13.045761)
Top result for (M, N) = (1536, 4608) : ((32, 8, 64), 11.55072)
Top result for (M, N) = (1536, 5120) : ((32, 8, 64), 16.75264)
Top result for (M, N) = (1536, 5632) : ((32, 8, 64), 20.14208)
Top result for (M, N) = (1536, 6144) : ((32, 8, 64), 27.729919)
Top result for (M, N) = (1536, 6656) : ((32, 8, 64), 29.99296)
