blockDim.x  blockDim.y  tile_size   gridDim.x   gridDim.y   time(us)
16          32          128         160         2           64.604156 
16          32          256         160         1           65.295364
16          64          128         160         1           66.401283
32          32          256         80          1           61.757442 -
16          16          256         160         2           60.149757
16          64          64          160         2           65.095688
16          32          64          160         4           63.196159
16          32          32          160         8           57.507839 -
32          32          32          80          8           60.487679
16          64          16          160         8           58.736637 -
